User ID,Energy (kWh),Charging Time (seconds),Total Duration (seconds),Session Count,Cluster
241867,13.330787296296297,8128.592592592592,10023.25925925926,27,2
2419171,1.2411666666666668,756.6666666666666,782.1666666666666,6,1
241919,7.948,4999.0,13317.0,1,2
241969,3.119491,10476.0,10483.0,1,2
242081,8.226772555555556,8833.694444444445,10526.25,36,2
2421001,12.447399999999998,7652.8,8146.0,5,2
242129,13.71,12106.0,12711.0,1,2
2421451,1.116,1202.0,1295.0,1,1
2421881,26.528,17526.0,26142.0,1,0
242295,14.420311,9318.0,11113.5,2,2
2423131,0.412,478.0,582.0,1,1
2423511,10.0,6404.0,6449.0,1,2
2423891,3.6175,2386.8333333333335,4707.333333333333,6,1
2424381,4.176,4640.0,4656.0,1,1
242495,4.9944049,3240.5,3252.0,20,1
2425161,8.773,5596.0,6648.0,1,2
2425891,10.0458,6567.0,7414.4,5,2
242605,0.861,865.0,892.0,1,1
2426431,13.525454545454545,9323.272727272728,16835.545454545456,11,2
242661,5.9141529550561796,6010.73595505618,8483.780898876405,178,0
242665,6.976,8420.0,8435.0,1,2
242683,0.3565,219.0,229.5,2,1
242691,5.91,7319.0,7334.0,1,2
2426971,8.707,5791.0,5802.0,1,2
2427501,2.6116153846153844,3009.6923076923076,3239.3076923076924,13,1
242753,7.719725,7241.25,7880.25,4,2
242775,5.122339,3286.25,6353.0,4,1
2428151,7.2935,4376.5,4394.0,4,1
242825,4.313,4293.0,4306.0,1,1
2428261,13.992027777777778,15713.430555555555,19605.26388888889,72,0
242843,3.9911494999999997,2422.0,2486.5,2,1
242861,25.488142,15722.0,15732.0,1,0
242895,7.162518,7091.0,7100.0,1,2
242897,10.191340499999999,6416.5,6432.0,2,2
242941,8.722331076923076,5714.846153846154,5751.384615384615,13,2
243063,7.142068,5979.5,5990.0,2,1
2430961,3.1963333333333335,2210.6666666666665,2334.6666666666665,3,1
243117,11.553666666666667,7154.0,7177.333333333333,3,2
243187,3.0437035,8830.0,10683.0,2,2
243229,18.733,11267.0,11277.0,1,2
2432371,4.850285714285714,5145.142857142857,5809.428571428572,7,1
2432451,7.961166666666666,8813.666666666666,8930.333333333334,6,2
2433041,2.856,2986.0,3001.0,1,1
2433111,4.0829,4652.0,4786.2,10,1
2433971,6.402066666666667,7500.341666666666,9925.65,120,2
243403,6.3740000000000006,3947.2,3961.6,5,1
2434201,8.049,4895.0,4910.0,3,1
243425,2.728298666666667,1930.6666666666667,1958.6666666666667,3,1
243459,2.812,1690.0,1775.0,1,1
2434811,5.097,5418.5,5435.5,2,1
243497,9.285240538461538,6508.923076923077,9303.384615384615,13,2
2435881,6.835,4133.0,4159.0,1,1
243599,5.377733333333334,4561.0,4576.333333333333,3,1
243619,8.1792775,5468.0,8477.0,2,2
243623,5.423151714285715,3962.4285714285716,4203.785714285715,14,1
2436311,3.183333333333333,1964.3333333333333,1992.3333333333333,3,1
243765,6.182545,3818.0,3926.0,1,1
2437651,6.79,4132.0,4149.0,1,1
2438511,1.724,1050.0,1068.0,1,1
243869,3.1928124999999996,4235.0,4763.5,2,1
243891,6.125,6761.0,6771.0,1,2
2438911,10.1678,6215.6,6656.6,5,2
24393,3.2161557865853663,3435.9085365853657,3990.1341463414633,164,1
243943,5.14551,3159.0,3184.0,1,1
243967,2.217171,2415.5,2430.5,2,1
243V,6.317349,7745.0,7793.0,1,2
244013,5.651581066666667,3522.8,4055.3333333333335,15,1
244029,2.6388333333333334,2143.1666666666665,2156.3333333333335,6,1
2441101,22.123,12911.0,12932.0,1,0
244111,7.3927488,6394.8,10848.4,10,2
2441331,3.919,2394.0,2407.0,1,1
2441501,13.674666666666667,8144.666666666667,8161.333333333333,3,2
2441841,3.4433333333333334,4232.333333333333,4498.5,6,1
244235,24.7328,14654.2,15377.2,5,0
244297,9.193333,5809.333333333333,5819.666666666667,3,2
244311,12.22323506,16071.62,21371.8,50,0
2443131,5.078,3409.0,3435.0,1,1
244411,3.832,2396.0,2418.0,1,1
244419,4.481980824561403,2994.1052631578946,3121.2982456140353,57,1
244421,5.936643,4004.0,4014.0,1,1
244425,4.78411,6022.5,7427.0,2,1
2445351,24.625,14400.0,14410.0,1,0
244551,2.538028,3004.0,3019.0,1,1
244639,5.5678253,3362.2,3403.8,10,1
244653,8.689428153846155,6303.461538461538,7922.538461538462,13,2
2447051,11.24,7114.0,7129.0,1,2
244711,10.717,6619.0,6635.0,1,2
244743,7.816666666666666,5739.5,8692.333333333334,6,2
244813,7.866442,4826.0,4845.5,2,1
244869,7.834,4695.0,4714.0,1,1
244875,4.634231870967742,5582.306451612903,6189.725806451613,62,1
244961,3.1289965714285715,3823.8571428571427,4987.285714285715,7,1
244981,3.677,4149.0,4165.0,1,1
244983,9.971,6554.0,6571.0,1,2
244993,8.695898999999999,5375.0,6100.666666666667,3,1
245007,3.653059,2476.75,5749.5,4,1
245041,5.081333333333333,5427.666666666667,5448.0,3,1
245051,8.789026,6110.0,6339.5,4,2
2450631,6.02475,6478.5,6745.5,4,1
2450641,5.9855,7280.0,8954.0,2,2
245067,9.185500000000001,5458.75,5468.25,4,1
245077,4.74575825,5628.75,8828.5,4,1
245087,10.172268721925134,8320.0,10703.106951871658,187,0
245155,10.90127812,8010.325714285715,13291.834285714285,175,0
245233,3.654423,2215.0,2233.0,1,1
2452331,4.11375,4468.5,4491.0,4,1
245271,13.794453,8440.0,13608.0,2,2
245285,5.29568025,5300.25,5462.0,4,1
2452941,6.987,4187.0,4192.0,1,1
2453931,2.787,4843.0,5008.0,1,1
245425,7.969001333333334,6521.666666666667,6540.333333333333,3,2
2454361,4.783,5740.0,5765.0,1,1
245455,4.288,4894.0,4908.0,2,1
2454621,3.0785,3504.5,3518.0,2,1
2454861,15.629370689655174,9525.560344827587,10754.431034482759,116,0
245721,8.010358499999999,4875.0,5146.0,2,1
245809,2.0650145,2261.5,2864.5,2,1
245819,6.015274222222222,3975.777777777778,4093.3333333333335,9,1
2458771,3.793,2583.0,4765.0,1,1
245917,49.557,29924.0,54351.0,1,0
245953,0.6,373.0,388.0,1,1
2459971,12.093537037037038,8486.481481481482,8573.277777777777,54,2
245999,3.323,3423.0,5049.0,1,1
2460261,13.637,8485.0,8509.0,1,2
246041,4.655,2760.0,2789.0,2,1
246103,6.4615,3836.0,4683.5,2,1
2461161,4.0475,2529.0,2539.5,2,1
246175,8.62425,5146.25,5237.25,4,1
2462031,6.383,7686.0,7919.0,1,2
246243,7.604,7019.0,7035.0,1,2
2463621,7.473,8004.0,8019.0,1,2
246385,12.229482614035089,7717.403508771929,11327.526315789473,57,2
2464,12.025,7551.0,7566.0,1,2
2464111,8.547971428571428,5326.228571428572,6133.257142857143,35,2
246471,6.380763,5192.0,10205.5,2,2
246475,7.041134,8220.0,8233.0,1,2
246489,2.411089880952381,4523.285714285715,11052.166666666666,42,1
2465341,4.829,5418.0,5432.5,2,1
246537,9.35904581818182,11048.545454545454,15794.636363636364,11,2
246621,4.294894928571429,2679.8571428571427,4002.285714285714,14,1
246669,4.45151,2679.0,2692.5,2,1
2467001,3.3185000000000002,3840.0,3854.0,2,1
246721,3.780505,4321.0,4333.0,1,1
246733,2.967758,3561.0,4993.0,2,1
2467551,7.43825,5798.5,5940.25,4,1
246801,3.907310666666666,2789.1666666666665,3523.6666666666665,6,1
2468541,15.925,9353.0,9366.0,1,2
246891,13.775,8545.0,8582.0,1,2
246897,5.728892,3470.0,3483.0,1,1
2469311,5.021,5497.0,5506.0,1,1
247105,14.376958,10049.0,10058.0,1,2
247127,6.839246,6689.0,6972.5,2,2
247167,11.046315666666667,12785.0,16455.666666666668,3,2
247195,0.035077,59.0,78.0,1,1
247219,4.861045,5689.0,5706.0,1,1
2472731,17.83975,10679.333333333334,10701.083333333334,12,2
