Station Name,Charging Time (min)_Weekday_Day,Charging Time (min)_Weekday_Night,Charging Time (min)_Weekend_Day,Charging Time (min)_Weekend_Night,Energy (kWh)_Weekday_Day,Energy (kWh)_Weekday_Night,Energy (kWh)_Weekend_Day,Energy (kWh)_Weekend_Night,Occupied Time (min)_Weekday_Day,Occupied Time (min)_Weekday_Night,Occupied Time (min)_Weekend_Day,Occupied Time (min)_Weekend_Night
PALO ALTO CA / CAMBRIDGE #5,161462.88333333333,757106.6333333333,44798.316666666666,186490.55,12433.223714805854,56756.54305790362,3521.33937208397,14046.823370580298,192191.33333333334,850493.1833333333,54283.583333333336,203983.13333333333
PALO ALTO CA / HAMILTON #1,1595009.3,2495732.6666666665,456618.15,908730.0166666667,98907.09356560328,152539.16867451777,29633.246019211983,59504.14892382298,2080293.2833333334,2816338.75,637932.6333333333,1078776.3333333333
PALO ALTO CA / HAMILTON #2,2739938.316666667,3850910.15,783196.2,1342755.9333333333,177212.47386640296,255209.45054983842,54659.003122608985,93094.54883677646,4177755.45,5006475.683333334,1471187.35,1832982.1
PALO ALTO CA / HIGH #1,740373.6333333333,1987303.2166666666,185685.1,636291.2666666667,56500.39863774799,158461.24311298944,14082.86183678356,50229.7038191381,1036487.4833333333,2264419.4833333334,302963.88333333336,776076.55
PALO ALTO CA / HIGH #2,413038.95,1336439.55,91659.36666666667,379949.2166666667,30536.9826679326,103952.05295260911,7430.748256892569,30012.466958861023,506973.8,1537014.5833333333,147629.55,469724.4166666667
PALO ALTO CA / HIGH #3,491064.98333333334,1444619.4333333333,102432.41666666667,466571.25,38431.290783646196,114889.97203792376,8329.732390051393,38424.976162635816,557434.1666666666,1650218.0666666667,129311.41666666667,557541.85
PALO ALTO CA / HIGH #4,1078426.55,2505161.033333333,198938.75,726804.9666666667,68964.75662993373,170780.69607807486,14319.66309915819,53309.19779495277,1355184.1833333333,2822069.183333333,299529.2166666667,861260.8166666667
PALO ALTO CA / MPL #1,204330.45,160237.05,135895.33333333334,79761.51666666666,15391.238237973657,10906.988286153792,9978.330631801273,5881.5606628261285,355832.55,226302.91666666666,271358.38333333336,106386.93333333333
PALO ALTO CA / MPL #2,338122.2833333333,324192.9666666667,153023.85,106698.0,24048.611165886756,21356.993288214057,11780.868174405201,7924.699645357423,507083.4166666667,602208.7666666667,281200.35,115178.93333333333
PALO ALTO CA / MPL #3,340271.4666666667,195219.38333333333,125054.1,97726.43333333333,23269.06398053392,12755.950281384945,9276.777112304399,7190.259273832768,577868.5666666667,277335.05,239058.31666666668,112906.68333333333
PALO ALTO CA / MPL #4,935616.1833333333,1145989.2666666666,338596.18333333335,511414.56666666665,69043.4147031221,85739.57093845506,27505.74257104764,40560.48774259469,1319504.05,1307645.2166666666,531583.4833333333,582932.15
PALO ALTO CA / MPL #5,749240.2333333333,1244165.1833333333,315773.2166666667,514943.51666666666,57828.4391203822,97054.33028571767,25070.866641772533,40914.95496110532,1103710.2666666666,1428864.4833333334,512485.65,605197.7333333333
PALO ALTO CA / MPL #6,936615.2166666667,1424456.1166666667,428333.31666666665,613634.3833333333,70363.0097716928,108857.67801723562,34541.03988217293,49519.429785691165,1451051.4,1707788.4,644808.4,702631.2
PALO ALTO CA / RINCONADA LIB 1,765630.9,1082288.05,373027.9,493763.2166666667,59510.97641071288,81607.51532668571,32130.439570916646,38372.20549590567,1208086.1,1262266.5666666667,587431.1833333333,571730.8333333334
PALO ALTO CA / RINCONADA LIB 2,717142.0,958028.3666666667,370901.1166666667,455297.98333333334,58800.887599233814,72679.12141242331,31259.93623917507,35005.884383275225,1159981.5333333334,1147805.0166666666,571263.1333333333,543440.1
PALO ALTO CA / RINCONADA LIB 3,726381.4666666667,1089447.3166666667,357698.38333333336,518091.81666666665,57269.79648432471,82966.55684949408,31065.582068449818,41377.240013093986,1155889.75,1254207.0833333333,562365.7166666667,597030.7
PALO ALTO CA / SHERMAN 1,731.6,2544.4833333333336,0.0,0.0,69.99937997488772,234.2044828568847,0.0,0.0,731.9,2547.3333333333335,0.0,0.0
PALO ALTO CA / SHERMAN 11,59.0,296.8,0.0,0.0,5.692272215973003,28.635023622047242,0.0,0.0,59.0,297.43333333333334,0.0,0.0
PALO ALTO CA / SHERMAN 14,0.0,211.73333333333335,0.0,100.91666666666667,0.0,21.3240099009901,0.0,10.061133481646273,0.0,212.48333333333335,0.0,101.16666666666667
PALO ALTO CA / SHERMAN 15,0.0,0.0,0.0,189.28333333333333,0.0,0.0,0.0,18.96759295409486,0.0,0.0,0.0,189.51666666666665
PALO ALTO CA / SHERMAN 17,57.0,72.71666666666667,0.0,0.0,5.311464588585835,6.776,0.0,0.0,57.0,73.08333333333333,0.0,0.0
PALO ALTO CA / SHERMAN 2,0.0,162.96666666666667,0.0,80.0,0.0,7.548,0.0,3.705297606872571,0.0,293.9,0.0,80.0
PALO ALTO CA / SHERMAN 3,84.0,2372.0666666666666,0.0,721.2,6.830216629625266,210.34737679888215,0.0,70.09827904295187,84.0,2403.55,0.0,737.9833333333333
PALO ALTO CA / SHERMAN 4,0.0,834.0666666666666,0.0,69.55,0.0,43.25683857641922,0.0,6.968446831364124,0.0,852.4166666666666,0.0,69.96666666666667
