Station Name,Charging Time (min)_0,Charging Time (min)_1,Charging Time (min)_2,Charging Time (min)_3,Charging Time (min)_4,Charging Time (min)_5,Charging Time (min)_6,Occupied Time (min)_0,Occupied Time (min)_1,Occupied Time (min)_2,Occupied Time (min)_3,Occupied Time (min)_4,Occupied Time (min)_5,Occupied Time (min)_6
PALO ALTO CA / CAMBRIDGE #4,96363.78333333334,118850.33333333333,135016.81666666668,135610.65,139458.93333333332,73079.55,77365.3,107740.93333333333,135558.75,164140.6,187013.96666666667,160434.45,80731.96666666666,87080.83333333333
PALO ALTO CA / CAMBRIDGE #5,154902.91666666666,172865.6,203328.21666666667,184380.1,203092.68333333332,111401.95,119886.91666666667,181230.33333333334,197460.58333333334,231692.55,201996.98333333334,230304.06666666668,126252.98333333334,132013.73333333334
PALO ALTO CA / HAMILTON #1,777538.0,831665.8,840624.5,856835.0333333333,784078.6333333333,680942.8166666667,684405.35,928685.05,979668.0166666667,1024323.9833333333,1036408.5,927546.4833333333,860562.5333333333,856146.4333333333
PALO ALTO CA / HAMILTON #2,1329022.4333333333,1314940.4166666667,1355578.4833333334,1334398.45,1256908.6833333333,1050393.5333333334,1075558.6,1850856.55,1818758.1166666667,1843816.3,1847734.8333333333,1823065.3333333333,1601233.7166666666,1702935.7333333334
PALO ALTO CA / HIGH #1,540149.8,528415.8666666667,568618.3833333333,546660.6833333333,543832.1166666667,403545.6,418430.76666666666,654782.5666666667,613023.95,713407.0666666667,642956.2333333333,676737.15,518678.9166666667,560361.5166666667
PALO ALTO CA / HIGH #2,318976.06666666665,341487.7833333333,366652.98333333334,353836.0,368525.6666666667,236193.2,235415.38333333333,371175.6,388862.5,443416.9,409600.4,430932.98333333334,293041.3,324312.6666666667
PALO ALTO CA / HIGH #3,401123.88333333336,360761.9,390152.6666666667,383154.8,400491.1666666667,303609.6666666667,265394.0,467097.43333333335,404879.23333333334,445425.26666666666,435290.5833333333,454959.7166666667,362911.4166666667,323941.85
PALO ALTO CA / HIGH #4,679364.1333333333,689972.0333333333,736691.7,756375.25,721184.4666666667,486004.3,439739.4166666667,774271.85,786331.8333333334,871999.2833333333,903411.2,841239.2,605139.6,555650.4333333333
PALO ALTO CA / MPL #1,81375.21666666667,74507.53333333334,77004.06666666667,73446.11666666667,58234.566666666666,117109.68333333333,98547.16666666667,136151.01666666666,114156.71666666666,121790.48333333334,125631.4,84405.85,191277.48333333334,186467.83333333334
PALO ALTO CA / MPL #2,137762.51666666666,147380.33333333334,137570.81666666668,114804.7,124796.88333333333,134503.98333333334,125217.86666666667,235284.0,237411.63333333333,225346.75,200850.95,210398.85,213746.86666666667,182632.41666666666
PALO ALTO CA / MPL #3,121655.01666666666,114382.28333333334,127566.31666666667,89367.18333333333,82520.05,116525.06666666667,106255.46666666667,200510.66666666666,182389.78333333333,210209.2,134767.4,127326.56666666667,180687.31666666668,171277.68333333332
PALO ALTO CA / MPL #4,395439.4166666667,449140.35,430592.3333333333,375939.2833333333,430494.06666666665,432915.23333333334,417095.51666666666,527257.7833333333,548331.6,543107.9166666666,473396.25,535055.7166666667,571056.35,543459.2833333333
PALO ALTO CA / MPL #5,382003.6666666667,411457.86666666664,404978.56666666665,415428.75,379536.56666666665,401155.5333333333,429561.2,505976.36666666664,523758.01666666666,522104.1,518540.6666666667,462195.6,550987.2,566696.1833333333
PALO ALTO CA / MPL #6,452320.1666666667,471292.3666666667,480515.01666666666,477768.75,479175.0333333333,536444.2166666667,505523.48333333334,605450.1666666666,649541.3166666667,641294.5833333334,630123.3833333333,632430.35,696048.25,651391.35
PALO ALTO CA / RINCONADA LIB 1,368623.45,362273.06666666665,374185.23333333334,342343.48333333334,400493.7166666667,395817.31666666665,470973.8,475196.98333333334,480939.1666666667,531639.2833333333,432063.4166666667,550513.8166666667,514555.65,644606.3666666667
PALO ALTO CA / RINCONADA LIB 2,354695.15,329591.98333333334,348486.43333333335,318552.68333333335,323844.11666666664,394421.18333333335,431777.9166666667,521669.9166666667,478645.25,454662.38333333336,429298.38333333336,423510.61666666664,507228.63333333336,607474.6
PALO ALTO CA / RINCONADA LIB 3,397292.9166666667,358701.25,359731.31666666665,343065.9666666667,357037.3333333333,419905.95,455884.25,522479.3,510251.6666666667,481124.98333333334,438219.81666666665,458021.06666666665,513236.31666666665,646160.1
PALO ALTO CA / SHERMAN 1,0.0,0.0,516.8833333333333,482.55,2276.65,0.0,0.0,0.0,0.0,517.1666666666666,483.6333333333333,2278.4333333333334,0.0,0.0
PALO ALTO CA / SHERMAN 11,0.0,355.8,0.0,0.0,0.0,0.0,0.0,0.0,356.43333333333334,0.0,0.0,0.0,0.0,0.0
PALO ALTO CA / SHERMAN 14,0.0,0.0,0.0,0.0,211.73333333333335,0.0,100.91666666666667,0.0,0.0,0.0,0.0,212.48333333333335,0.0,101.16666666666667
PALO ALTO CA / SHERMAN 15,0.0,0.0,0.0,0.0,0.0,189.28333333333333,0.0,0.0,0.0,0.0,0.0,0.0,189.51666666666665,0.0
PALO ALTO CA / SHERMAN 17,0.0,129.71666666666667,0.0,0.0,0.0,0.0,0.0,0.0,130.08333333333331,0.0,0.0,0.0,0.0,0.0
PALO ALTO CA / SHERMAN 2,162.96666666666667,0.0,0.0,0.0,0.0,0.0,80.0,293.9,0.0,0.0,0.0,0.0,0.0,80.0
PALO ALTO CA / SHERMAN 3,1411.55,0.0,183.4,29.0,832.1166666666667,288.45,432.75,1442.0833333333333,0.0,183.71666666666667,29.0,832.75,305.0,432.98333333333335
PALO ALTO CA / SHERMAN 4,158.4,52.38333333333333,0.0,623.2833333333333,0.0,0.0,69.55,158.56666666666666,52.6,0.0,641.25,0.0,0.0,69.96666666666667
PALO ALTO CA / SHERMAN 5,0.0,0.0,0.0,0.0,0.0,44.8,0.0,0.0,0.0,0.0,0.0,0.0,45.13333333333333,0.0
PALO ALTO CA / SHERMAN 6,0.0,0.0,0.0,571.8666666666667,234.03333333333333,0.0,0.0,0.0,0.0,0.0,572.3833333333333,276.6,0.0,0.0
PALO ALTO CA / SHERMAN 7,1126.4333333333334,0.0,0.0,48.083333333333336,152.0,369.5,708.5166666666667,1126.6666666666667,0.0,0.0,84.71666666666667,152.0,370.18333333333334,709.0
